date,tic,close,volume,DBSCAN_Anomaly,OCSVM_Anomaly,IsolationForest_Anomaly,Autoencoder_Anomaly,stat_Anomaly
2016-11-28,RGCO,12.96718979,1500,0,0,0,0,0
2016-11-28,STRS,20.30046844,11700,0,0,0,0,0
2016-11-28,SWKH,8.850000381,0,0,0,0,0,0
2016-11-28,TCI,11.94999981,0,0,1,0,0,0
2016-11-28,VABK,18.05626869,0,0,0,0,0,0
2016-11-28,VALU,14.79012871,300,0,0,0,0,1
2016-11-29,ARL,6.71999979,1900,0,0,0,0,0
2016-11-29,BH,299.186676,6450,1,1,1,0,0
2016-11-29,CIX,8.08577919,2100,0,0,0,0,0
2016-11-29,FDBC,18.08707428,1950,0,0,0,0,0
2016-11-29,GEF,37.03330994,216300,1,0,0,0,0
2016-11-29,NATH,39.47839737,8900,0,0,0,0,0
2016-11-29,NKSH,25.8298912,13900,0,0,0,0,0
2016-11-29,NWFL,14.69617081,1350,0,0,0,0,0
2016-11-29,PLBC,11.35604572,22900,0,0,0,0,0
2016-11-29,PNRG,53.04999924,0,0,0,0,0,0
2016-11-29,QRTEB,11.82297039,2900,0,0,0,0,0
2016-11-29,RGCO,12.88815403,7050,0,0,0,0,0
2016-11-29,STRS,21.3490448,13900,0,0,0,0,0
2016-11-29,SWKH,9.479999542,4600,0,0,0,0,0
2016-11-29,TCI,11.94999981,0,0,0,0,0,0
2016-11-29,VABK,18.38723564,630,0,0,0,0,0
2016-11-29,VALU,14.774333,1100,0,0,0,0,0
2016-11-30,ARL,7.710000038,7700,0,0,0,0,0
2016-11-30,BH,308.2133179,12300,1,1,1,0,0
2016-11-30,CIX,8.016672134,5300,0,0,0,0,0
2016-11-30,FDBC,18.08707428,1350,0,0,0,0,0
2016-11-30,GEF,38.52610016,246000,0,0,0,0,0
2016-11-30,NATH,41.45837402,13900,0,0,0,0,0
2016-11-30,NKSH,26.11689568,20700,0,0,0,0,0
2016-11-30,NWFL,14.66089821,4350,0,0,0,0,1
2016-11-30,PLBC,11.39906216,12800,1,0,0,0,0
2016-11-30,PNRG,53.04999924,0,0,0,0,0,0
2016-11-30,QRTEB,11.61605263,1000,0,1,0,0,0
2016-11-30,RGCO,12.88815403,7500,0,0,0,0,0
2016-11-30,STRS,21.43292999,15500,0,0,0,0,0
2016-11-30,SWKH,9.050000191,700,0,0,0,0,0
2016-11-30,TCI,11.94999981,0,0,0,0,0,0
2016-11-30,VABK,18.38723564,1575,0,0,0,0,0
2016-11-30,VALU,15.01134205,3900,0,0,0,0,0
2016-12-01,ARL,7.590000153,2400,0,0,0,0,0
2016-12-01,BH,316.6733398,15750,1,0,0,0,0
2016-12-01,CIX,8.08577919,6200,0,0,0,0,0
2016-12-01,FDBC,18.08707428,450,0,0,0,0,0
2016-12-01,GEF,39.40065765,240300,0,0,0,0,0
2016-12-01,NATH,43.03427505,15000,0,0,0,0,0
2016-12-01,NKSH,26.54739189,23200,0,0,0,0,0
2016-12-01,NWFL,14.81204605,1500,0,0,0,0,1
2016-12-01,PLBC,11.44207478,5000,0,0,0,0,0
2016-12-01,PNRG,53.04999924,0,1,1,0,0,0
2016-12-01,QRTEB,11.45511913,400,0,0,0,0,0
2016-12-01,RGCO,12.90923023,1650,0,0,0,0,0
2016-12-01,STRS,26.29833221,35500,0,0,0,0,0
2016-12-01,SWKH,9.050000191,0,0,0,0,0,0
2016-12-01,TCI,11.44999981,200,0,0,0,0,0
2016-12-01,VABK,18.38723564,0,0,1,0,0,1
2016-12-01,VALU,15.2009716,4800,0,0,0,0,0
2016-12-02,ARL,7.260000229,3800,0,0,0,0,0
2016-12-02,BH,310.1066589,11400,1,0,0,0,0
2016-12-02,CIX,8.016672134,1300,0,0,0,0,0
2016-12-02,FDBC,18.92643929,3900,0,0,0,0,0
2016-12-02,GEF,40.75020981,285300,0,0,0,0,0
2016-12-02,NATH,44.20611191,11200,0,0,0,0,0
2016-12-02,NKSH,26.33214188,12600,0,0,0,0,0
2016-12-02,NWFL,14.61052227,750,0,0,0,0,0
2016-12-02,PLBC,11.44207478,7200,0,0,0,0,0
2016-12-02,PNRG,43.25,300,1,0,0,0,0
2016-12-02,QRTEB,11.45511913,0,0,0,0,0,1
2016-12-02,RGCO,12.90923023,0,0,0,0,0,0
2016-12-02,STRS,25.62724113,16100,0,0,0,0,0
2016-12-02,SWKH,9.050000191,0,0,0,0,0,0
2016-12-02,TCI,11.14999962,200,0,0,0,0,0
2016-12-02,VABK,18.75498199,525,0,0,0,0,0
2016-12-02,VALU,15.58020306,5000,0,0,0,0,0
2016-12-05,ARL,6.690000057,500,0,0,0,0,0
2016-12-05,BH,302.706665,7350,1,0,0,0,0
2016-12-05,CIX,7.982117653,900,0,0,0,0,0
2016-12-05,FDBC,18.9535141,1500,0,0,0,0,1
2016-12-05,GEF,41.70017242,224700,0,0,0,0,0
2016-12-05,NATH,44.89303207,10100,0,0,0,0,0
2016-12-05,NKSH,26.69088936,3600,0,0,0,0,0
2016-12-05,NWFL,14.67601395,600,0,0,0,0,0
2016-12-05,PLBC,12.43143082,29300,0,0,0,0,0
2016-12-05,PNRG,49.95000076,1100,1,1,0,0,0
2016-12-05,QRTEB,13.104702,900,0,0,0,0,0
2016-12-05,RGCO,13.13053131,3450,0,0,0,0,0
2016-12-05,STRS,25.08198166,5900,0,0,0,0,0
2016-12-05,SWKH,9.039999962,700,0,0,0,0,0
2016-12-05,TCI,11.14999962,0,0,0,0,0,0
2016-12-05,VABK,18.75498199,315,0,1,0,0,0
2016-12-05,VALU,15.48539066,9500,0,0,0,0,0
2016-12-06,ARL,6.579999924,1600,0,0,0,0,0
2016-12-06,BH,309.5533447,7350,1,0,0,0,0
2016-12-06,CIX,7.947561741,2400,0,0,0,0,0
2016-12-06,FDBC,19.71472931,750,0,0,0,0,0
2016-12-06,GEF,43.51715088,446900,0,0,0,0,0
2016-12-06,NATH,45.45874405,11700,0,0,0,0,0
2016-12-06,NKSH,26.51151276,17600,0,0,0,0,1
2016-12-06,NWFL,14.91280937,34500,0,0,0,0,0
2016-12-06,PLBC,12.86158371,16800,0,0,0,0,0
2016-12-06,PNRG,49.95000076,0,1,1,0,0,0
2016-12-06,QRTEB,12.20806408,200,0,0,0,0,0
2016-12-06,RGCO,12.91976929,5550,0,0,0,0,0
2016-12-06,STRS,24.95615196,11300,0,0,0,0,1
2016-12-06,SWKH,9.199999809,100,0,0,0,0,0
2016-12-06,TCI,11.14999962,0,0,0,0,0,0
2016-12-06,VABK,19.12273026,210,0,0,0,0,0
2016-12-06,VALU,15.73821354,18400,0,0,0,0,0
2016-12-07,ARL,6.75,1300,0,0,0,0,0
2016-12-07,BH,298.4533386,13350,1,0,1,0,0
2016-12-07,CIX,8.002848625,2400,0,0,0,0,0
2016-12-07,FDBC,19.71472931,0,0,0,0,0,0
2016-12-07,GEF,42.54458618,542500,0,0,0,0,0
2016-12-07,NATH,45.94363022,6600,0,0,0,0,0
2016-12-07,NKSH,27.06596565,5100,0,0,0,0,0
2016-12-07,NWFL,15.16471291,2550,0,0,0,0,1
2016-12-07,PLBC,13.42078495,36900,0,0,0,0,0
2016-12-07,PNRG,50.0,600,1,0,0,0,0
2016-12-07,QRTEB,12.20806408,0,0,0,0,0,0
2016-12-07,RGCO,12.93557644,1350,0,1,0,0,0
2016-12-07,STRS,25.04003906,8600,0,0,0,0,0
2016-12-07,SWKH,9.199999809,0,0,0,0,0,0
2016-12-07,TCI,11.14999962,0,0,0,0,0,0
2016-12-07,VABK,19.12273026,0,0,1,0,0,0
2016-12-07,VALU,15.62760448,6600,0,0,0,0,0
2016-12-08,ARL,6.460000038,3000,0,0,0,0,0
2016-12-08,BH,299.2799988,52800,1,0,1,0,0
2016-12-08,CIX,8.22399807,7800,0,0,0,0,0
2016-12-08,FDBC,19.71472931,0,0,0,0,0,0
2016-12-08,GEF,42.05451584,302600,0,0,0,0,0
2016-12-08,NATH,46.02445602,5200,0,1,0,0,0
2016-12-08,NKSH,27.17539787,18700,0,0,0,0,1
2016-12-08,NWFL,15.24532509,3600,0,0,0,0,0
2016-12-08,PLBC,13.42078495,7300,0,0,0,0,0
2016-12-08,PNRG,50.0,0,0,0,0,0,0
2016-12-08,QRTEB,12.20806408,0,0,0,0,0,0
2016-12-08,RGCO,12.93030643,600,0,1,0,0,0
2016-12-08,STRS,25.16586876,8300,0,0,0,0,0
2016-12-08,SWKH,9.449999809,300,0,0,0,0,0
2016-12-08,TCI,11.10000038,400,0,0,0,0,0
2016-12-08,VABK,21.31448746,210,0,1,0,0,0
2016-12-08,VALU,16.054245,1400,0,1,0,0,0
2016-12-09,ARL,5.699999809,3500,0,0,0,0,0
2016-12-09,BH,304.8333435,7200,1,0,1,0,0
2016-12-09,CIX,8.638653755,8800,1,0,0,0,1
2016-12-09,FDBC,19.71472931,0,0,0,0,0,0
2016-12-09,GEF,40.72759628,366300,0,0,0,0,0
2016-12-09,NATH,46.50934601,12500,0,0,0,0,0
2016-12-09,NKSH,26.95653534,7800,0,0,0,0,0
2016-12-09,NWFL,15.81966496,8100,0,1,0,0,0
2016-12-09,PLBC,13.42078495,19700,0,0,0,0,0
2016-12-09,PNRG,50.0,0,1,0,0,0,0
2016-12-09,QRTEB,12.05287647,600,0,0,0,0,0
